,kmeans_n_clusters_1,kmeans_n_clusters_2,kmeans_n_clusters_3,kmeans_n_clusters_4,kmeans_n_clusters_5,kmeans_n_clusters_6,kmeans_n_clusters_7,kmeans_n_clusters_8,dbscan_eps_0_1_min_samples_2,dbscan_eps_0_2_min_samples_2,dbscan_eps_0_3_min_samples_2,dbscan_eps_0_4_min_samples_2,dbscan_eps_0_5_min_samples_2,dbscan_eps_0_6_min_samples_2,dbscan_eps_0_7_min_samples_2,dbscan_eps_0_8_min_samples_2,dbscan_eps_0_9_min_samples_2,kernel_kmeans_n_clusters_1_kernel_gak_random_state_0,kernel_kmeans_n_clusters_2_kernel_gak_random_state_0,kernel_kmeans_n_clusters_3_kernel_gak_random_state_0,kernel_kmeans_n_clusters_4_kernel_gak_random_state_0,kernel_kmeans_n_clusters_5_kernel_gak_random_state_0,kernel_kmeans_n_clusters_6_kernel_gak_random_state_0,kernel_kmeans_n_clusters_7_kernel_gak_random_state_0,kernel_kmeans_n_clusters_8_kernel_gak_random_state_0,spectral_clustering_n_clusters_1_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_2_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_3_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_4_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_5_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_6_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_7_eigen_solver_arpack_affinity_nearest_neighbors,spectral_clustering_n_clusters_8_eigen_solver_arpack_affinity_nearest_neighbors,mean_shift_,optics_min_samples_7_xi_0_05_min_cluster_size_0_1,random_model_n1,random_model_n2,random_model_n3,random_model_n4,random_model_n5,random_model_n6,random_model_n7,random_model_n8,random_model_n9,random_model_n10,random_model_n11,random_model_n12,random_model_n13,random_model_n14,random_model_n15,random_model_n16,random_model_n17,random_model_n18,random_model_n19,random_model_n20,random_model_n21,random_model_n22,random_model_n23,random_model_n24,random_model_n25,random_model_n26,random_model_n27,random_model_n28,random_model_n29,random_model_n30,random_model_n31,random_model_n32,random_model_n33,random_model_n34,random_model_n35,random_model_n36,random_model_n37,random_model_n38,random_model_n39,random_model_n40,random_model_n41,random_model_n42,random_model_n43,random_model_n44,random_model_n45,random_model_n46,random_model_n47,random_model_n48,random_model_n49,random_model_n50,random_model_n51,random_model_n52,random_model_n53,random_model_n54,random_model_n55,random_model_n56,random_model_n57
748,0,0,2,0,3,5,3,3,49,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,1,0,3,5,5,0,0,2,1,2,0,2,0,3,0,2,3,2,0,0,1,0,2,3,3,1,1,0,3,0,2,1,1,0,0,0,3,3,2,2,3,2,0,1,2,2,2,2,0,1,3,2,0,2,2,0,2,2,3,0,0,3,3,3
749,0,1,2,0,4,3,6,0,90,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,1,3,1,2,2,1,1,3,1,1,2,0,2,1,1,0,3,0,3,0,2,0,2,3,0,2,2,0,0,1,2,0,3,2,3,2,2,2,2,0,1,1,0,1,2,2,3,1,1,1,1,0,3,1,1,3,2
750,0,0,2,1,3,5,3,3,4,0,0,0,0,0,0,0,0,0,1,2,0,4,0,1,2,0,0,0,2,0,3,5,5,0,0,3,2,2,2,1,2,3,2,0,3,2,1,2,2,0,0,0,1,3,1,0,1,0,0,1,1,1,2,1,1,2,2,3,1,0,0,3,3,0,2,3,3,0,3,2,2,3,3,0,1,2,2,1,3,1,3,1
751,0,1,0,2,0,4,4,7,0,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,1,2,6,6,0,0,3,0,3,2,0,1,3,3,3,1,3,1,2,3,1,2,1,0,1,2,3,1,1,2,2,2,1,0,2,1,3,3,1,0,2,1,1,1,3,2,0,0,3,1,1,0,1,0,1,2,3,0,1,1,2,0,0
752,0,1,2,0,4,3,6,0,100,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,2,1,1,3,3,2,1,3,0,2,0,1,2,1,2,1,3,3,3,2,1,1,0,3,2,0,3,0,0,1,3,2,1,2,1,1,2,2,2,2,1,0,1,0,1,3,3,1,0,3,0,2,0,3,2,3
753,0,0,2,1,1,1,5,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,0,0,0,3,1,0,3,0,2,2,2,1,3,1,2,3,0,1,0,3,1,3,1,3,0,2,3,1,3,1,3,0,2,1,0,2,2,3,0,0,3,3,1,0,1,1,3,1,1,3,3,2,0,2,2,2,1,1,3,0
754,0,0,1,3,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,1,1,1,0,0,0,3,0,0,2,0,0,1,3,0,0,0,2,0,3,3,0,1,2,3,0,2,1,0,3,2,2,1,0,2,0,3,2,1,2,1,2,3,0,0,0,1,2,3,2,2,3,2,0,1,3,2,2,1,0,1,1
755,0,1,0,0,4,3,6,0,6,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,2,0,1,3,0,1,1,1,0,3,3,3,2,1,2,3,1,2,0,1,1,2,3,1,0,1,3,3,2,1,0,2,3,2,1,2,1,3,1,3,1,3,0,3,0,1,0,3,1,2,0,2,0,2,2,3
756,0,0,2,1,1,1,5,2,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,0,0,0,0,1,2,0,1,0,1,3,3,1,2,0,2,1,2,0,0,0,3,0,1,0,1,2,0,2,1,2,1,1,1,1,1,3,1,0,2,2,3,3,2,1,3,1,0,2,3,2,1,1,3,1,2,3,0,1,3
757,0,1,2,0,3,5,3,3,33,0,0,0,0,0,0,0,0,0,1,2,1,0,0,1,2,0,0,2,1,2,3,2,5,0,0,1,0,1,3,3,2,1,2,2,2,2,1,0,2,0,1,2,0,1,2,3,1,3,3,3,3,2,0,3,3,1,3,0,0,3,3,1,1,1,1,1,2,1,3,3,0,2,0,0,2,1,3,1,3,1,2,0
758,0,0,2,0,3,5,3,3,56,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,2,0,0,2,1,2,3,2,5,0,0,3,1,1,2,1,0,3,2,0,1,0,1,0,3,1,0,3,0,3,1,3,3,1,3,3,2,2,3,0,0,0,3,2,1,0,3,3,0,1,3,0,0,2,1,0,3,3,3,2,0,2,3,3,2,2,0,3
759,0,0,1,3,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,0,4,2,0,3,0,0,3,2,0,2,2,1,1,2,0,3,3,1,0,2,1,3,1,0,1,0,1,2,2,2,2,2,1,3,0,0,2,3,2,1,0,0,3,2,0,2,0,2,2,3,0,1,3,1,3,2,3,1,0,3,3,2,0
760,0,0,2,1,3,5,3,3,4,0,0,0,0,0,0,0,0,0,0,2,0,4,0,1,2,0,0,0,2,0,3,5,5,0,0,3,1,3,0,0,1,2,0,0,2,1,1,1,0,1,1,2,1,0,0,2,2,3,3,1,0,1,2,2,3,0,3,0,2,3,2,2,2,0,2,3,3,3,0,3,0,3,3,2,0,2,0,3,0,0,1,1
761,0,0,1,3,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,1,1,1,0,0,0,0,3,3,3,1,2,1,3,2,2,2,3,3,1,0,2,1,0,1,0,3,2,1,1,1,2,3,2,3,2,3,3,3,2,0,1,1,3,2,3,1,1,3,3,0,2,1,3,3,0,0,1,2,1,0,3
762,0,1,2,0,4,3,6,0,3,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,3,1,0,3,3,3,2,3,2,3,2,1,1,3,3,0,1,2,0,3,3,0,1,2,3,1,2,0,1,0,2,2,0,3,3,3,2,3,0,3,2,0,0,1,1,2,0,0,1,3,3,0,3,0,2,0,0
763,0,0,1,3,2,4,4,7,125,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,0,4,3,6,6,0,0,0,2,3,3,0,3,0,0,3,2,3,3,2,0,1,1,2,1,1,2,3,0,1,0,2,1,0,3,3,3,0,1,0,0,0,1,1,0,1,0,3,1,0,1,1,2,2,0,1,2,0,1,3,0,2,2,2
764,0,1,0,2,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,1,3,1,0,4,4,0,0,3,1,1,0,1,2,1,3,0,1,3,1,2,1,2,0,2,0,2,3,1,3,3,3,3,3,0,0,0,3,0,0,1,0,0,2,3,3,3,1,0,0,0,2,3,1,1,0,2,0,0,0,1,1,3,1,2
765,0,1,2,0,4,5,3,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,1,2,4,5,5,0,0,0,1,1,0,1,3,2,3,1,3,0,3,2,2,1,1,0,0,0,1,0,0,3,2,3,1,2,3,2,3,0,2,0,2,0,1,0,0,3,0,1,2,0,0,3,3,2,2,2,0,1,0,2,0,1,0,1
766,0,1,2,0,4,3,6,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,0,0,2,3,1,1,1,0,2,0,3,1,0,2,3,3,0,3,3,1,3,0,3,2,1,0,2,0,1,2,2,3,1,3,1,2,1,3,0,1,2,0,3,2,1,1,0,0,1,0,3,3,2,1,0,0,3
767,0,1,0,0,4,3,6,6,-1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,1,2,3,2,7,0,0,2,1,1,3,3,3,3,3,2,3,0,0,2,3,2,0,0,1,0,0,1,3,3,3,3,2,0,1,1,1,3,0,0,2,3,1,1,1,0,0,1,3,0,1,3,1,2,1,0,1,3,1,2,0,2,3,0
768,0,1,0,2,3,4,4,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,3,1,3,2,7,0,0,2,3,2,2,1,3,2,3,3,3,1,1,0,1,3,3,3,0,2,3,3,1,3,1,2,0,3,2,0,3,1,0,1,3,0,2,0,3,1,2,1,3,2,3,0,0,2,0,2,3,2,0,2,0,1,0,3
769,0,0,1,3,2,2,2,1,53,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,1,1,1,0,0,3,1,2,2,0,3,1,0,1,3,2,0,1,3,2,2,1,2,2,2,2,2,3,3,1,3,0,0,0,1,0,0,1,3,3,0,1,0,3,2,2,0,2,3,3,1,2,2,3,0,0,3,2,2,2,0,0
770,0,1,0,0,4,3,6,6,66,0,0,0,0,0,0,0,0,0,1,1,1,0,0,5,7,0,1,2,1,1,3,2,7,0,0,0,1,3,0,3,1,0,3,3,0,1,3,3,2,0,3,2,1,3,3,1,1,0,0,3,0,3,3,1,3,2,3,0,3,3,1,0,0,3,2,0,0,2,1,3,3,2,2,0,2,1,0,1,3,2,0,0
771,0,1,0,2,0,0,1,4,52,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,0,4,4,0,0,2,2,1,0,2,3,3,3,2,3,2,1,3,1,3,0,0,1,1,1,3,2,1,3,3,1,1,2,3,2,0,2,0,3,2,1,3,2,1,2,3,0,0,0,0,3,0,1,3,2,1,1,2,1,3,3,2
772,0,1,0,2,0,0,1,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,0,2,7,0,0,2,2,1,1,1,0,0,1,2,2,2,1,1,0,1,2,3,2,0,2,1,0,3,1,3,0,2,1,1,3,1,1,3,0,3,1,0,2,1,2,3,0,3,2,1,3,2,3,0,2,1,2,1,0,0,2,0
773,0,0,1,3,3,4,4,7,124,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,3,0,1,0,0,4,3,6,6,0,0,1,1,3,0,2,0,2,2,0,0,3,3,1,2,1,3,0,3,0,2,2,2,1,3,1,2,2,3,1,0,2,2,1,1,2,3,2,2,0,0,3,3,1,2,3,1,2,0,3,2,0,2,0,2,2,0,3
774,0,1,0,0,4,3,6,0,109,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,3,1,0,2,2,2,3,0,1,3,0,1,2,3,3,0,0,2,3,1,3,2,0,3,2,1,2,1,3,1,3,2,0,3,0,0,2,3,3,1,0,1,1,0,2,3,0,1,2,2,2,3,2,2,3,1,3
775,0,1,0,2,0,4,4,4,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,3,4,0,1,1,3,1,0,4,4,0,0,3,1,2,1,0,1,2,0,0,1,0,2,3,3,3,3,2,3,0,2,1,2,2,3,1,3,3,1,3,0,2,1,0,1,0,0,2,3,0,1,3,0,0,2,1,2,0,3,2,0,2,3,1,1,3,2,0
776,0,0,1,3,2,4,4,7,43,0,0,0,0,0,0,0,0,0,0,0,3,2,1,2,4,0,1,1,0,4,2,6,6,0,0,1,3,3,1,0,2,2,1,2,1,1,0,0,3,1,0,3,1,3,2,1,0,1,2,1,1,1,0,0,1,1,2,3,1,3,0,1,0,1,1,2,0,0,1,2,3,1,2,3,1,2,1,2,3,1,3,0
777,0,0,2,0,3,5,3,3,112,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,2,0,0,2,1,2,3,2,5,0,0,2,3,0,3,3,1,2,2,3,0,3,0,2,3,2,2,0,2,3,2,3,3,2,1,1,0,2,2,3,3,3,0,0,0,1,1,2,3,0,3,0,3,1,0,1,1,1,0,1,1,3,3,2,3,3,0,2
778,0,1,0,2,0,4,4,7,76,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,4,0,1,1,0,4,3,6,6,0,0,0,0,3,1,3,2,3,1,1,0,3,1,2,1,0,3,0,3,3,1,1,0,1,1,1,0,0,2,0,2,0,2,2,2,2,1,3,2,2,1,3,3,3,0,2,2,0,0,2,1,1,1,1,0,2,2,2
779,0,1,0,2,0,0,1,4,10,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,0,4,4,0,0,0,0,3,2,3,0,1,2,2,3,3,3,2,3,3,1,2,3,0,0,3,3,2,1,2,3,0,2,1,1,0,2,0,0,2,0,2,1,1,0,1,2,3,3,2,1,2,0,3,0,1,3,3,1,0,0,2
780,0,0,2,1,1,5,3,3,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,2,0,4,5,5,0,0,1,1,0,1,3,0,1,0,2,1,3,1,1,3,1,1,2,3,0,3,0,0,0,2,2,1,3,0,3,3,0,0,0,3,0,0,2,2,2,0,0,0,1,0,3,3,1,0,0,0,1,0,2,0,1,1,3
781,0,1,2,0,4,3,6,0,115,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,0,2,1,1,2,0,1,0,2,3,0,1,0,3,1,3,3,3,1,1,2,0,2,2,0,2,2,2,3,0,1,0,2,1,2,0,1,2,3,1,2,0,2,0,3,0,1,1,1,3,3,3,1,3,0,0
782,0,1,0,0,4,3,6,6,119,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,3,2,2,3,0,1,3,1,1,2,2,3,3,0,0,2,3,2,3,2,0,0,1,2,2,0,1,1,3,3,0,2,0,1,2,2,1,3,1,0,3,0,3,0,1,1,3,3,1,3,2,2,3,3,1,0
783,0,0,2,1,1,1,5,3,-1,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,2,0,4,5,5,0,0,2,1,2,0,1,2,0,2,2,0,3,1,1,1,1,3,3,1,1,3,3,0,2,0,0,0,3,1,2,3,3,2,2,0,2,1,0,2,1,1,2,3,2,3,2,3,1,0,3,1,2,3,3,0,1,1,3
784,0,1,0,2,3,4,4,6,29,0,0,0,0,0,0,0,0,0,1,1,2,2,0,5,7,0,1,1,3,1,3,2,7,0,0,1,1,2,3,3,2,1,2,2,2,3,3,1,2,2,0,1,1,1,2,2,0,0,2,3,3,0,1,1,3,0,2,1,3,2,0,2,1,2,2,1,1,3,0,2,2,0,0,2,3,2,1,1,1,1,0,2
785,0,0,1,3,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,1,1,1,0,0,1,3,0,0,2,2,1,0,1,3,0,1,1,2,3,1,0,2,3,3,3,2,3,2,0,3,3,3,3,1,0,0,0,3,1,2,0,1,2,0,1,0,2,3,3,3,1,2,3,2,0,1,0,1,0,3,2
786,0,1,2,0,4,3,6,0,11,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,0,0,1,0,0,3,3,1,1,3,3,1,0,3,2,3,1,1,3,0,0,3,1,0,1,2,3,3,3,2,3,0,0,3,1,0,0,3,1,2,2,2,3,3,2,2,0,2,0,2,2,1,1,0,3,0
787,0,1,0,0,3,5,3,6,29,0,0,0,0,0,0,0,0,0,1,1,1,2,0,5,7,0,1,2,1,2,3,2,7,0,0,0,2,1,1,2,0,1,3,1,1,0,3,2,0,1,3,1,1,0,1,3,1,1,1,1,2,1,2,3,3,1,1,0,1,3,2,2,0,1,3,1,3,1,2,1,2,1,0,2,1,0,0,3,3,2,0,0
788,0,0,2,1,1,1,5,2,20,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,0,0,0,2,1,2,2,2,3,2,0,2,3,1,1,3,2,1,1,3,2,3,3,1,3,1,1,1,3,2,1,3,3,3,1,0,0,3,1,1,3,3,0,2,3,1,0,3,1,1,3,3,3,1,3,0,1,2,0,0
789,0,0,1,3,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,0,4,2,0,3,0,0,3,2,3,1,3,2,3,0,1,1,1,1,1,3,2,3,2,1,0,1,1,1,0,3,0,2,2,1,1,2,0,3,2,0,2,1,3,0,3,1,3,2,0,1,3,2,1,1,1,1,1,1,1,0,1,3,1
790,0,1,0,2,0,0,4,4,68,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,4,0,1,1,3,1,0,4,4,0,0,1,0,0,3,3,0,2,3,1,2,1,3,1,1,1,0,3,0,1,2,0,0,2,2,3,2,1,2,1,1,1,0,2,0,1,0,3,1,3,1,3,1,0,3,0,0,2,0,3,0,0,1,0,3,2,3,2
791,0,1,0,2,0,4,4,6,-1,0,0,0,0,0,0,0,0,0,1,1,2,2,1,5,7,0,1,1,3,1,3,2,7,0,0,2,1,1,1,0,0,3,2,2,3,1,1,1,1,1,3,3,0,0,0,3,0,3,1,0,2,0,3,1,1,0,3,1,2,2,0,3,1,2,2,0,3,2,3,2,0,1,3,2,0,1,0,1,0,0,0,2
792,0,0,1,3,2,2,0,5,16,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,0,4,2,0,3,0,0,3,1,3,0,2,1,2,0,1,3,3,1,3,2,3,0,1,3,2,3,3,0,0,2,2,3,0,1,2,2,1,0,1,2,3,0,2,2,2,1,1,0,1,2,3,3,0,1,3,0,3,2,3,1,2,3,0
793,0,0,2,1,1,1,5,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,0,0,0,1,3,2,2,1,3,1,2,1,1,2,3,2,2,3,2,0,0,1,0,2,0,2,1,3,3,0,1,2,1,1,3,1,1,1,2,1,2,2,1,3,3,0,1,1,1,0,2,3,1,0,0,2,2,2,1,0
794,0,0,2,1,1,1,5,3,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,0,0,0,0,2,0,4,5,5,0,0,1,1,0,2,1,3,1,0,0,0,0,0,3,2,2,0,3,3,1,3,0,0,0,1,0,0,0,3,2,1,1,0,0,1,2,2,3,0,3,0,1,0,1,3,0,0,2,1,2,0,1,1,0,3,3,1,1
795,0,0,1,3,2,2,0,5,-1,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,0,0,0,3,1,1,1,0,0,1,2,3,3,2,1,0,1,1,2,3,2,3,2,2,0,3,2,2,3,2,3,2,3,3,3,2,1,1,0,1,2,2,0,1,2,1,1,3,1,2,2,1,2,1,3,2,1,2,1,1,2,0,2,1,2,1
796,0,1,0,2,0,0,1,4,25,0,0,0,0,0,0,0,0,0,1,1,2,1,3,3,6,0,1,1,3,1,0,4,4,0,0,3,1,1,3,3,2,3,1,2,0,3,3,1,1,1,1,0,1,2,0,0,2,0,3,2,0,3,1,0,0,1,1,3,1,3,1,0,2,3,3,0,0,1,1,0,2,1,0,3,2,3,2,0,3,0,0,0
797,0,0,2,0,4,5,3,3,14,0,0,0,0,0,0,0,0,0,1,2,1,0,4,1,2,0,0,2,1,0,4,5,5,0,0,3,0,2,1,2,1,2,3,0,1,1,0,1,0,0,3,2,0,0,3,3,2,0,3,3,2,2,3,1,3,3,3,3,2,3,2,1,1,0,2,2,2,2,2,3,1,3,0,2,0,1,1,2,0,0,1,1
798,0,0,2,1,1,1,5,2,26,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,0,0,0,2,1,0,3,1,2,0,0,1,3,0,1,2,2,1,2,0,2,3,0,1,0,0,3,2,1,3,1,0,2,1,2,1,1,3,1,3,1,1,2,0,0,0,2,3,2,0,1,2,3,3,3,0,1,2,0,2
799,0,0,1,3,2,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,3,0,0,0,0,3,1,1,1,0,0,3,0,1,2,3,0,2,1,2,0,0,0,1,1,3,2,1,2,3,0,3,2,3,1,0,1,0,3,0,1,1,0,1,1,3,3,3,1,3,3,2,2,1,2,3,1,3,0,3,0,3,1,1,0,0,1,2
800,0,1,0,0,4,3,6,6,48,0,0,0,0,0,0,0,0,0,1,1,1,0,4,5,5,0,0,2,1,2,5,3,2,0,0,3,1,3,1,0,3,0,0,3,2,3,3,0,1,0,1,3,1,3,3,2,3,0,0,3,2,3,2,0,1,0,0,2,0,0,0,3,2,2,3,2,0,2,3,3,1,0,1,1,0,3,1,3,1,3,3,2
801,0,0,2,1,1,5,3,3,32,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,2,0,4,5,5,0,0,0,1,2,1,1,3,0,3,1,0,0,3,0,2,3,0,0,1,1,0,2,2,0,2,0,1,1,1,3,3,3,0,2,2,3,0,3,0,0,3,3,1,0,1,2,2,0,1,1,1,3,0,0,1,2,0,0
802,0,1,2,0,4,3,6,0,22,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,0,0,1,2,1,0,3,0,3,3,1,3,3,2,2,2,3,0,0,1,1,3,2,2,2,0,3,0,0,3,2,2,1,2,1,3,0,1,2,1,0,0,0,0,0,3,0,2,1,1,2,1,2,3,3,0,1
803,0,0,2,1,1,1,5,3,27,0,0,0,0,0,0,0,0,0,0,2,0,4,2,1,2,0,0,0,2,0,4,5,5,0,0,3,2,0,2,2,1,0,3,2,0,3,1,2,2,2,0,3,0,1,2,1,3,3,2,2,2,2,2,2,3,0,3,3,3,3,3,0,1,0,2,2,0,1,3,0,3,3,2,1,3,2,0,0,0,0,0,3
804,0,0,1,3,2,2,0,5,96,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,0,4,2,0,3,0,0,3,0,0,1,1,2,1,3,0,3,0,3,0,1,3,0,2,2,0,3,3,3,2,1,2,3,2,0,2,1,2,2,1,2,3,2,2,2,3,3,0,1,3,0,1,1,3,3,2,0,1,2,2,1,2,3,0
805,0,1,0,2,0,0,1,6,19,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,0,2,7,0,0,1,2,2,1,3,1,0,0,3,0,2,3,2,2,1,3,2,2,3,3,3,2,2,2,2,1,3,0,0,3,3,1,1,2,2,2,3,3,2,2,1,3,2,2,2,1,0,3,2,2,2,3,1,2,2,1,0
806,0,1,0,2,0,4,4,7,46,0,0,0,0,0,0,0,0,0,1,1,2,2,1,2,4,0,1,1,3,1,3,6,6,0,0,3,1,1,2,0,0,0,1,1,0,0,3,0,0,2,0,0,3,2,3,1,1,0,2,2,0,3,3,1,2,2,3,3,1,0,3,2,0,1,0,1,3,0,0,3,3,2,3,3,3,2,3,3,0,2,0,2
807,0,0,2,1,1,1,5,2,57,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,0,4,5,5,0,0,3,1,0,2,0,1,1,2,2,0,2,2,1,1,2,0,3,0,3,1,2,1,0,2,0,3,3,1,3,0,3,3,0,2,2,2,3,0,0,3,2,0,2,3,3,3,3,3,3,1,2,3,0,2,0,2,2
808,0,0,1,1,1,1,5,2,35,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,3,1,1,0,0,0,3,0,1,2,2,0,0,0,0,2,1,3,1,3,1,2,3,2,1,1,2,0,3,3,0,1,2,3,3,3,0,2,2,2,1,2,2,2,1,2,0,1,0,1,2,1,3,1,1,2,1,0,2,2,3,2,1
809,0,1,2,0,4,3,6,0,30,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,2,0,2,1,0,0,0,2,1,0,2,1,1,3,1,1,3,3,0,0,1,1,2,1,3,1,1,0,0,2,1,1,0,1,2,1,1,1,3,1,0,3,1,0,1,0,0,0,0,2,2,3,2,0,2,2
810,0,0,1,3,2,2,0,5,78,0,0,0,0,0,0,0,0,0,0,0,3,3,5,0,1,0,1,0,0,4,2,0,3,0,0,0,1,0,1,1,1,3,3,2,2,1,1,3,2,1,0,1,1,3,3,1,3,0,3,1,1,3,0,0,1,1,1,1,2,2,3,3,1,3,2,2,2,3,3,1,0,2,0,2,3,2,3,1,1,2,1,1
811,0,1,0,0,4,3,6,6,119,0,0,0,0,0,0,0,0,0,1,1,1,0,4,6,5,0,0,2,1,2,5,3,2,0,0,2,2,2,2,2,2,2,1,0,3,0,2,2,3,3,3,0,3,3,2,2,1,1,1,3,3,0,0,2,2,0,2,3,1,3,2,1,0,2,2,2,2,3,1,1,0,3,2,3,1,1,3,0,2,3,2,1
812,0,0,1,1,1,1,2,2,9,0,0,0,0,0,0,0,0,0,0,2,0,4,2,4,0,0,0,0,2,3,1,1,1,0,0,2,0,0,2,2,1,0,3,0,0,1,1,2,0,3,3,1,3,0,3,3,3,2,1,3,3,2,3,2,0,3,0,1,2,3,2,3,1,1,1,0,0,2,2,3,2,1,1,2,3,1,2,0,2,1,0,0
813,0,1,0,2,0,0,1,6,2,0,0,0,0,0,0,0,0,0,1,1,2,1,3,5,7,0,1,1,3,1,3,2,7,0,0,3,1,0,1,3,0,2,2,1,0,3,2,1,3,2,0,3,0,0,0,1,3,1,2,0,3,3,0,1,0,1,3,0,0,1,1,3,1,3,1,0,3,0,1,2,1,0,0,2,3,1,1,2,3,2,2,3
814,0,1,2,0,4,5,3,3,-1,0,0,0,0,0,0,0,0,0,1,2,1,0,4,6,5,0,0,2,1,2,5,3,5,0,0,1,1,0,3,3,0,3,3,0,2,3,1,3,3,1,1,0,3,2,2,2,1,2,2,1,1,2,2,0,2,1,2,3,0,2,1,1,1,2,0,1,3,0,1,0,0,1,3,0,1,1,1,3,0,0,0,1
815,0,1,0,2,0,4,4,7,76,0,0,0,0,0,0,0,0,0,0,1,2,2,1,2,4,0,1,1,0,4,3,6,6,0,0,1,2,1,3,3,0,3,1,0,0,3,2,0,2,1,0,2,1,1,3,0,0,2,2,0,2,3,2,3,3,3,0,0,0,2,3,0,2,0,0,2,0,0,1,2,3,3,3,2,3,2,3,1,3,0,2,0
